,法院名称,上诉法院,级别
119,绍兴市中级人民法院,浙江高级人民法院,中级
120,金华市中级人民法院,浙江高级人民法院,中级
121,衢州市中级人民法院,浙江高级人民法院,中级
122,舟山市中级人民法院,浙江高级人民法院,中级
123,台州市中级人民法院,浙江高级人民法院,中级
124,丽水市中级人民法院,浙江高级人民法院,中级
125,宁波海事人民法院,浙江高级人民法院,中级
126,杭州铁路运输人民法院,浙江高级人民法院,中级
127,合肥市中级人民法院,安徽高级人民法院,中级
128,芜湖市中级人民法院,安徽高级人民法院,中级
129,蚌埠市中级人民法院,安徽高级人民法院,中级
130,淮南市中级人民法院,安徽高级人民法院,中级
131,马鞍山市中级人民法院,安徽高级人民法院,中级
132,淮北市中级人民法院,安徽高级人民法院,中级
133,铜陵市中级人民法院,安徽高级人民法院,中级
134,安庆市中级人民法院,安徽高级人民法院,中级
135,黄山市中级人民法院,安徽高级人民法院,中级
136,滁州市中级人民法院,安徽高级人民法院,中级
137,阜阳市中级人民法院,安徽高级人民法院,中级
138,宿州市中级人民法院,安徽高级人民法院,中级
139,六安市中级人民法院,安徽高级人民法院,中级
140,亳州市中级人民法院,安徽高级人民法院,中级
141,池州市中级人民法院,安徽高级人民法院,中级
142,宣城市中级人民法院,安徽高级人民法院,中级
143,福州市中级人民法院,福建高级人民法院,中级
144,厦门市中级人民法院,福建高级人民法院,中级
145,莆田市中级人民法院,福建高级人民法院,中级
146,三明市中级人民法院,福建高级人民法院,中级
147,泉州市中级人民法院,福建高级人民法院,中级
148,漳州市中级人民法院,福建高级人民法院,中级
149,南平市中级人民法院,福建高级人民法院,中级
150,龙岩市中级人民法院,福建高级人民法院,中级
151,宁德市中级人民法院,福建高级人民法院,中级
152,厦门海事人民法院,福建高级人民法院,中级
153,福州铁路人民法院,福建高级人民法院,中级
154,南昌市中级人民法院,江西高级人民法院,中级
155,景德镇市中级人民法院,江西高级人民法院,中级
156,萍乡市中级人民法院,江西高级人民法院,中级
157,九江市中级人民法院,江西高级人民法院,中级
158,新余市中级人民法院,江西高级人民法院,中级
159,鹰潭市中级人民法院,江西高级人民法院,中级
160,赣州市中级人民法院,江西高级人民法院,中级
161,吉安市中级人民法院,江西高级人民法院,中级
162,宜春市中级人民法院,江西高级人民法院,中级
163,抚州市中级人民法院,江西高级人民法院,中级
164,上饶市中级人民法院,江西高级人民法院,中级
165,济南市中级人民法院,山东高级人民法院,中级
166,青岛市中级人民法院,山东高级人民法院,中级
167,淄博市中级人民法院,山东高级人民法院,中级
168,枣庄市中级人民法院,山东高级人民法院,中级
169,东营市中级人民法院,山东高级人民法院,中级
170,烟台市中级人民法院,山东高级人民法院,中级
171,潍坊市中级人民法院,山东高级人民法院,中级
172,济宁市中级人民法院,山东高级人民法院,中级
173,泰安市中级人民法院,山东高级人民法院,中级
174,威海市中级人民法院,山东高级人民法院,中级
175,日照市中级人民法院,山东高级人民法院,中级
176,莱芜市中级人民法院,山东高级人民法院,中级
177,临沂市中级人民法院,山东高级人民法院,中级
178,德州市中级人民法院,山东高级人民法院,中级
179,聊城市中级人民法院,山东高级人民法院,中级
180,滨州市中级人民法院,山东高级人民法院,中级
181,菏泽市中级人民法院,山东高级人民法院,中级
182,济南铁路中级人民法院,山东高级人民法院,中级
183,青岛海事人民法院,山东高级人民法院,中级
184,郑州市中级人民法院,河南高级人民法院,中级
185,开封市中级人民法院,河南高级人民法院,中级
186,洛阳市中级人民法院,河南高级人民法院,中级
187,平顶山市中级人民法院,河南高级人民法院,中级
188,安阳市中级人民法院,河南高级人民法院,中级
189,鹤壁市中级人民法院,河南高级人民法院,中级
190,新乡市中级人民法院,河南高级人民法院,中级
191,焦作市中级人民法院,河南高级人民法院,中级
192,濮阳市中级人民法院,河南高级人民法院,中级
193,许昌市中级人民法院,河南高级人民法院,中级
194,漯河市中级人民法院,河南高级人民法院,中级
195,三门峡市中级人民法院,河南高级人民法院,中级
196,南阳市中级人民法院,河南高级人民法院,中级
197,商丘市中级人民法院,河南高级人民法院,中级
198,信阳市中级人民法院,河南高级人民法院,中级
199,周口市中级人民法院,河南高级人民法院,中级
200,驻马店市中级人民法院,河南高级人民法院,中级
201,济源中级人民法院,河南高级人民法院,中级
202,郑州铁路中级人民法院,河南高级人民法院,中级
203,武汉市中级人民法院,湖北高级人民法院,中级
204,黄石市中级人民法院,湖北高级人民法院,中级
205,十堰市中级人民法院,湖北高级人民法院,中级
206,宜昌市中级人民法院,湖北高级人民法院,中级
207,襄阳市中级人民法院,湖北高级人民法院,中级
208,鄂州市中级人民法院,湖北高级人民法院,中级
209,荆门市中级人民法院,湖北高级人民法院,中级
210,孝感市中级人民法院,湖北高级人民法院,中级
211,荆州市中级人民法院,湖北高级人民法院,中级
212,黄冈市中级人民法院,湖北高级人民法院,中级
213,咸宁市中级人民法院,湖北高级人民法院,中级
214,随州市中级人民法院,湖北高级人民法院,中级
215,恩施州中级人民法院,湖北高级人民法院,中级
216,汉江中级人民法院,湖北高级人民法院,中级
217,武汉海事人民法院,湖北高级人民法院,中级
218,武汉铁路中级人民法院,湖北高级人民法院,中级
219,长沙市中级人民法院,湖南高级人民法院,中级
220,株洲市中级人民法院,湖南高级人民法院,中级
221,湘潭市中级人民法院,湖南高级人民法院,中级
222,衡阳市中级人民法院,湖南高级人民法院,中级
223,邵阳市中级人民法院,湖南高级人民法院,中级
224,岳阳市中级人民法院,湖南高级人民法院,中级
225,常德市中级人民法院,湖南高级人民法院,中级
226,张家界市中级人民法院,湖南高级人民法院,中级
227,益阳市中级人民法院,湖南高级人民法院,中级
228,郴州市中级人民法院,湖南高级人民法院,中级
229,永州市中级人民法院,湖南高级人民法院,中级
230,怀化市中级人民法院,湖南高级人民法院,中级
231,娄底市中级人民法院,湖南高级人民法院,中级
232,湘西自治州中级人民法院,湖南高级人民法院,中级
233,长沙铁路运输人民法院,湖南高级人民法院,中级
234,怀化铁路运输人民法院,湖南高级人民法院,中级
235,衡阳铁路运输人民法院,湖南高级人民法院,中级
236,广州市中级人民法院,广东高级人民法院,中级
237,韶关市中级人民法院,广东高级人民法院,中级
238,深圳市中级人民法院,广东高级人民法院,中级
239,珠海市中级人民法院,广东高级人民法院,中级
240,汕头市中级人民法院,广东高级人民法院,中级
241,佛山市中级人民法院,广东高级人民法院,中级
242,江门市中级人民法院,广东高级人民法院,中级
243,湛江市中级人民法院,广东高级人民法院,中级
244,茂名市中级人民法院,广东高级人民法院,中级
245,肇庆市中级人民法院,广东高级人民法院,中级
246,惠州市中级人民法院,广东高级人民法院,中级
247,梅州市中级人民法院,广东高级人民法院,中级
248,汕尾市中级人民法院,广东高级人民法院,中级
249,河源市中级人民法院,广东高级人民法院,中级
250,阳江市中级人民法院,广东高级人民法院,中级
251,清远市中级人民法院,广东高级人民法院,中级
252,东莞市中级人民法院,广东高级人民法院,中级
253,中山市中级人民法院,广东高级人民法院,中级
254,潮州市中级人民法院,广东高级人民法院,中级
255,揭阳市中级人民法院,广东高级人民法院,中级
256,云浮市中级人民法院,广东高级人民法院,中级
257,广州铁路中级人民法院,广东高级人民法院,中级
258,广州海事人民法院,广东高级人民法院,中级
259,广州知识产权人民法院,广东高级人民法院,中级
260,南宁市中级人民法院,广西高级人民法院,中级
261,柳州市中级人民法院,广西高级人民法院,中级
262,桂林市中级人民法院,广西高级人民法院,中级
263,梧州市中级人民法院,广西高级人民法院,中级
264,北海市中级人民法院,广西高级人民法院,中级
265,防城港市中级人民法院,广西高级人民法院,中级
266,钦州市中级人民法院,广西高级人民法院,中级
267,贵港市中级人民法院,广西高级人民法院,中级
268,玉林市中级人民法院,广西高级人民法院,中级
269,百色市中级人民法院,广西高级人民法院,中级
270,贺州市中级人民法院,广西高级人民法院,中级
271,河池市中级人民法院,广西高级人民法院,中级
272,来宾市中级人民法院,广西高级人民法院,中级
273,崇左市中级人民法院,广西高级人民法院,中级
274,南宁铁路中级人民法院,广西高级人民法院,中级
275,北海海事人民法院,广西高级人民法院,中级
276,海口市中级人民法院,海南高级人民法院,中级
277,三亚市中级人民法院,海南高级人民法院,中级
